SEASONFOLLOWER|STATUSER|USERGROUP|SEASON|PERMISSIONS|FOLLOWEDON
1|578||1|ADMIN|2015-03-25 13:41:04.843
2|578||2|ADMIN|2015-03-25 13:44:30.368
3|578||3|ADMIN|2015-03-26 17:56:00.099
4|578||4|ADMIN|2015-03-28 08:41:40.131
5|578||5|ADMIN|2015-03-28 11:01:59.651
6|578||6|ADMIN|2015-03-28 13:35:46.966
7|578||7|ADMIN|2015-03-28 16:56:37.212
8|578||8|ADMIN|2015-03-28 17:41:30.444
9|578||9|ADMIN|2015-03-28 18:18:24.134
10|578||10|ADMIN|2015-03-28 18:41:56.068
11|578||11|ADMIN|2015-04-07 18:02:29.533
12|578||12|ADMIN|2015-04-09 17:59:52.384
13|578||13|ADMIN|2015-04-11 08:40:07.59
14|578||14|ADMIN|2015-04-11 10:03:57.878
15|578||15|ADMIN|2015-04-11 11:58:06.477
16|578||16|ADMIN|2015-04-11 13:46:05.86
17|578||17|ADMIN|2015-04-11 15:22:53.054
18|578||18|ADMIN|2015-04-11 16:44:48.076
19|578||19|ADMIN|2015-04-16 17:58:18.876
20|578||20|ADMIN|2015-04-25 08:40:37.661
21|578||21|ADMIN|2015-04-25 10:14:28.64
22|578||22|ADMIN|2015-04-25 12:31:42.607
23|578||23|ADMIN|2015-04-25 14:28:06.721
24|578||24|ADMIN|2015-05-05 19:25:41.123
25|578||25|ADMIN|2015-05-27 17:55:46.516
26|578||26|ADMIN|2015-06-06 12:28:13.167
27|578||27|ADMIN|2015-09-05 07:23:25.85
28|578||28|ADMIN|2015-09-05 09:34:03.797
29|578||29|ADMIN|2015-09-05 11:59:32.837
30|578||30|ADMIN|2015-09-05 14:38:46.484
31|578||31|ADMIN|2015-09-05 16:17:30.249
32|578||32|ADMIN|2015-09-08 15:06:45.307
33|578||33|ADMIN|2015-09-08 15:13:40.463
34|578||34|ADMIN|2015-09-08 16:15:35.001
35|578||35|ADMIN|2015-09-10 19:17:09.736
36|578||36|ADMIN|2015-09-15 19:01:58.125
37|578||37|ADMIN|2015-09-17 17:58:51.349
38|578||38|ADMIN|2015-09-17 19:09:36.439
39|578||39|ADMIN|2015-09-21 17:56:18.202
40|578||40|ADMIN|2015-09-21 19:09:48.632
41|578||41|ADMIN|2015-09-24 19:25:14.727
42|578||42|ADMIN|2015-09-29 19:16:28.588
43|578||43|ADMIN|2015-10-05 19:18:57.423
44|578||44|ADMIN|2015-10-19 19:30:11.445
45|578||45|ADMIN|2015-10-20 19:27:18.45
46|578||46|ADMIN|2015-10-24 08:17:34.047
47|578||47|ADMIN|2015-10-24 09:46:58.21
48|578||48|ADMIN|2015-10-28 20:26:25.644
49|578||49|ADMIN|2016-03-26 05:32:01.507
50|578||50|ADMIN|2016-03-26 05:33:43.536
51|578||51|ADMIN|2016-03-26 09:18:23.933
52|578||52|ADMIN|2016-03-26 11:29:05.912
53|578||53|ADMIN|2016-03-26 13:45:17.613
54|578||54|ADMIN|2016-03-26 15:20:49.816
55|578||55|ADMIN|2016-03-26 16:40:10.602
56|578||56|ADMIN|2016-03-29 19:09:21.597
57|578||57|ADMIN|2016-04-02 08:39:49.426
58|578||58|ADMIN|2016-04-02 10:57:23.963
59|578||59|ADMIN|2016-04-02 13:23:07.211
60|578||60|ADMIN|2016-04-02 17:34:11.388
61|578||61|ADMIN|2016-04-05 19:15:37.392
62|578||62|ADMIN|2016-04-07 18:58:31.852
63|578||63|ADMIN|2016-04-09 10:15:40.081
64|578||64|ADMIN|2016-04-09 12:16:05.654
65|578||65|ADMIN|2016-04-09 14:11:45.35
66|578||66|ADMIN|2016-04-14 19:12:35.573
67|578||67|ADMIN|2016-04-23 08:35:16.771
68|578||68|ADMIN|2016-04-23 09:27:05.662
69|578||69|ADMIN|2016-04-23 11:39:39.132
70|578||70|ADMIN|2016-04-23 12:59:10.361
71|578||71|ADMIN|2017-09-02 02:22:43.603
72|578||72|ADMIN|2017-09-02 09:08:46.644
73|578||73|ADMIN|2017-09-02 09:30:27.833
74|578||74|ADMIN|2017-09-02 10:35:48.302
75|578||75|ADMIN|2017-09-02 11:04:59.957
76|578||76|ADMIN|2017-09-02 12:07:51.102
77|578||77|ADMIN|2017-09-02 12:54:20.561
78|578||78|ADMIN|2017-09-02 14:01:02.303
79|578||79|ADMIN|2017-09-02 14:32:13.416
80|578||80|ADMIN|2017-09-05 17:48:24.421
81|578||81|ADMIN|2017-09-05 17:51:43.832
82|578||82|ADMIN|2017-09-05 18:45:10.57
83|578||83|ADMIN|2017-09-07 19:17:57.612
84|578||84|ADMIN|2017-09-09 08:57:17.394
85|578||85|ADMIN|2017-09-09 09:57:34.971
86|578||86|ADMIN|2017-09-09 11:03:20.825
87|578||87|ADMIN|2017-09-09 11:56:26.924
88|578||88|ADMIN|2017-09-09 11:56:32.813
89|578||89|ADMIN|2017-09-09 13:01:28.223
90|578||90|ADMIN|2017-09-09 13:33:41.194
91|578||91|ADMIN|2017-09-14 18:05:54.72
92|578||92|ADMIN|2017-09-14 19:44:20.687
93|578||93|ADMIN|2017-09-21 19:16:52.732
94|578||94|ADMIN|2017-09-23 17:16:46.652
95|578||95|ADMIN|2017-09-26 19:27:40.265
96|578||96|ADMIN|2017-10-02 18:54:14.213
97|578||97|ADMIN|2017-10-03 18:59:01.687
98|578||98|ADMIN|2017-10-12 18:03:00.681
99|578||99|ADMIN|2017-10-21 08:43:16.47
100|578||100|ADMIN|2017-10-21 10:05:42.478
