SEASONFOLLOWER,STATUSER,USERGROUP,SEASON,PERMISSIONS,FOLLOWEDON
1,578,,1,ADMIN,2015-03-25 13:41:04.843000
2,578,,2,ADMIN,2015-03-25 13:44:30.368000
3,578,,3,ADMIN,2015-03-26 17:56:00.099000
4,578,,4,ADMIN,2015-03-28 08:41:40.131000
5,578,,5,ADMIN,2015-03-28 11:01:59.651000
6,578,,6,ADMIN,2015-03-28 13:35:46.966000
7,578,,7,ADMIN,2015-03-28 16:56:37.212000
8,578,,8,ADMIN,2015-03-28 17:41:30.444000
9,578,,9,ADMIN,2015-03-28 18:18:24.134000
10,578,,10,ADMIN,2015-03-28 18:41:56.068000
11,578,,11,ADMIN,2015-04-07 18:02:29.533000
12,578,,12,ADMIN,2015-04-09 17:59:52.384000
13,578,,13,ADMIN,2015-04-11 08:40:07.590000
14,578,,14,ADMIN,2015-04-11 10:03:57.878000
15,578,,15,ADMIN,2015-04-11 11:58:06.477000
16,578,,16,ADMIN,2015-04-11 13:46:05.860000
17,578,,17,ADMIN,2015-04-11 15:22:53.054000
18,578,,18,ADMIN,2015-04-11 16:44:48.076000
19,578,,19,ADMIN,2015-04-16 17:58:18.876000
20,578,,20,ADMIN,2015-04-25 08:40:37.661000
21,578,,21,ADMIN,2015-04-25 10:14:28.640000
22,578,,22,ADMIN,2015-04-25 12:31:42.607000
23,578,,23,ADMIN,2015-04-25 14:28:06.721000
24,578,,24,ADMIN,2015-05-05 19:25:41.123000
25,578,,25,ADMIN,2015-05-27 17:55:46.516000
26,578,,26,ADMIN,2015-06-06 12:28:13.167000
27,578,,27,ADMIN,2015-09-05 07:23:25.850000
28,578,,28,ADMIN,2015-09-05 09:34:03.797000
29,578,,29,ADMIN,2015-09-05 11:59:32.837000
30,578,,30,ADMIN,2015-09-05 14:38:46.484000
31,578,,31,ADMIN,2015-09-05 16:17:30.249000
32,578,,32,ADMIN,2015-09-08 15:06:45.307000
33,578,,33,ADMIN,2015-09-08 15:13:40.463000
34,578,,34,ADMIN,2015-09-08 16:15:35.001000
35,578,,35,ADMIN,2015-09-10 19:17:09.736000
36,578,,36,ADMIN,2015-09-15 19:01:58.125000
37,578,,37,ADMIN,2015-09-17 17:58:51.349000
38,578,,38,ADMIN,2015-09-17 19:09:36.439000
39,578,,39,ADMIN,2015-09-21 17:56:18.202000
40,578,,40,ADMIN,2015-09-21 19:09:48.632000
41,578,,41,ADMIN,2015-09-24 19:25:14.727000
42,578,,42,ADMIN,2015-09-29 19:16:28.588000
43,578,,43,ADMIN,2015-10-05 19:18:57.423000
44,578,,44,ADMIN,2015-10-19 19:30:11.445000
45,578,,45,ADMIN,2015-10-20 19:27:18.450000
46,578,,46,ADMIN,2015-10-24 08:17:34.047000
47,578,,47,ADMIN,2015-10-24 09:46:58.210000
48,578,,48,ADMIN,2015-10-28 20:26:25.644000
49,578,,49,ADMIN,2016-03-26 05:32:01.507000
50,578,,50,ADMIN,2016-03-26 05:33:43.536000
51,578,,51,ADMIN,2016-03-26 09:18:23.933000
52,578,,52,ADMIN,2016-03-26 11:29:05.912000
53,578,,53,ADMIN,2016-03-26 13:45:17.613000
54,578,,54,ADMIN,2016-03-26 15:20:49.816000
55,578,,55,ADMIN,2016-03-26 16:40:10.602000
56,578,,56,ADMIN,2016-03-29 19:09:21.597000
57,578,,57,ADMIN,2016-04-02 08:39:49.426000
58,578,,58,ADMIN,2016-04-02 10:57:23.963000
59,578,,59,ADMIN,2016-04-02 13:23:07.211000
60,578,,60,ADMIN,2016-04-02 17:34:11.388000
61,578,,61,ADMIN,2016-04-05 19:15:37.392000
62,578,,62,ADMIN,2016-04-07 18:58:31.852000
63,578,,63,ADMIN,2016-04-09 10:15:40.081000
64,578,,64,ADMIN,2016-04-09 12:16:05.654000
65,578,,65,ADMIN,2016-04-09 14:11:45.350000
66,578,,66,ADMIN,2016-04-14 19:12:35.573000
67,578,,67,ADMIN,2016-04-23 08:35:16.771000
68,578,,68,ADMIN,2016-04-23 09:27:05.662000
69,578,,69,ADMIN,2016-04-23 11:39:39.132000
70,578,,70,ADMIN,2016-04-23 12:59:10.361000
71,578,,71,ADMIN,2017-09-02 02:22:43.603000
72,578,,72,ADMIN,2017-09-02 09:08:46.644000
73,578,,73,ADMIN,2017-09-02 09:30:27.833000
74,578,,74,ADMIN,2017-09-02 10:35:48.302000
75,578,,75,ADMIN,2017-09-02 11:04:59.957000
76,578,,76,ADMIN,2017-09-02 12:07:51.102000
77,578,,77,ADMIN,2017-09-02 12:54:20.561000
78,578,,78,ADMIN,2017-09-02 14:01:02.303000
79,578,,79,ADMIN,2017-09-02 14:32:13.416000
80,578,,80,ADMIN,2017-09-05 17:48:24.421000
81,578,,81,ADMIN,2017-09-05 17:51:43.832000
82,578,,82,ADMIN,2017-09-05 18:45:10.570000
83,578,,83,ADMIN,2017-09-07 19:17:57.612000
84,578,,84,ADMIN,2017-09-09 08:57:17.394000
85,578,,85,ADMIN,2017-09-09 09:57:34.971000
