PLAYERINSEASON,UUID,PLAYER,SEASON,NUMBER,SHORTCUT
1,53ef3c8f-ad36-4862-b4b0-8188d5b69585,1,1,2,mh
2,420505c9-b2e7-4ccb-8626-53989aec7bef,2,1,5,md
3,63065f00-c598-4983-bc80-f2d98b8597f4,3,1,9,bd
4,ad5047f4-6b6c-4223-9c9a-6f6e5587be8e,4,1,8,jz
5,46de0e5d-a9ca-4060-a740-00af785969a5,5,1,3,za
6,33d0cb80-1953-47b3-a493-b2263d34812d,6,1,24,eo
7,a7d209f0-c005-4c0d-905b-8563e8b10f71,7,1,23,at
8,a38b08f4-512e-4a71-b74d-f341115ecdc7,8,1,14,mf
9,b6c03454-942d-49d7-b24f-629f9446df4a,9,1,27,cg
10,1694bc78-a670-4cdd-ba43-b6f26788f0a4,10,1,12,cc
11,102aae20-6100-44d5-b337-b4e1c3ae056c,11,1,11,jr
12,62704d4e-c2e3-42ec-9887-5d999f87e7e5,12,1,20,al
13,3ba579c2-c727-4a12-b679-26d733c7c837,13,1,26,ds
14,832f5f3b-3e02-463e-8ec2-af52b14ca034,14,1,1,he
15,beeaa37f-a2ea-42bd-9822-2ff434f6f49c,15,2,4,jd
16,1b93ff58-f547-418d-b49e-58ef0202417a,16,2,6,hu
17,d88f6071-bd11-4b29-bbed-f5c83de9bfdc,17,2,7,tm
18,7cb06862-663a-4a68-8a0b-70d08bfb4a1b,18,2,10,kf
19,019571df-a8e4-48df-8553-d75d199a775c,19,2,13,dp
20,d54b910b-cc24-4e21-83d3-40f699fafad8,20,2,17,mc
21,0c318e08-c424-4d9b-ab0d-3d6df90b6d11,21,2,18,jo
22,2d8b5288-8a2f-4084-8790-432f63fe499a,22,2,19,wt
23,71c6dd46-78ec-4671-8187-4e4153125eb0,23,2,25,lr
24,30ae4714-4581-4d4b-af3d-2ffbd339c554,24,2,28,en
25,f5a2dac1-34fb-4376-bc00-206572976be1,25,2,29,dd
26,0afbd528-54e3-4c40-a695-45ad011d5d6f,26,2,21,cs
27,1b398a60-4f81-4b2a-88db-e13c3509be95,14,2,1,mh
28,02651fe1-e5ed-42b4-b910-69c7370c69ce,12,2,20,al
29,515fb167-37cb-4d0d-9674-158432309b61,13,2,26,ds
30,459bf4d7-34a0-44b9-b2de-26c70f81a689,24,1,28,en
32,445de1f6-3d39-4f3e-84da-4a77fc408870,28,27,10,db
33,22d5de89-af3b-490d-84b0-8a91ec29b0ce,29,27,22,bu
34,02e74238-e443-4a53-9297-3662ae23b9f4,30,27,18,kc
35,22d8da0c-090f-4005-85c4-0a9fd0061a9a,31,27,5,co
36,32aac209-7c7f-497f-83f9-2e8aa9a0c662,32,27,21,sf
37,21d9bc7e-94db-4d05-a6ef-e5a934b0b705,33,27,28,mf
38,e24c5b4e-de50-41bc-a400-3c6491b4e3e8,34,27,20,hh
39,5793789f-f972-4943-b880-a9a3ee356dbb,35,27,14,kk
40,ae65c56d-1551-4a18-b871-c8d675ead883,36,27,24,mk
41,1404000c-8420-47c5-94de-39c0963a7aff,37,27,17,jm
42,7dbf90f8-e0cd-480f-839d-b858226dae29,38,27,11,om
43,8f65cc33-f75d-410b-9818-4bd72c5f09a0,39,27,7,mp
44,6f4a343c-99c3-470c-a4a1-f5e71ca7ecbb,40,27,6,ks
45,7abc56e4-8f46-4baa-97c8-dd7109d11226,41,27,15,as
46,28c0da05-3af4-40f3-bf07-8df80f95b8d8,42,27,1,ns
47,8e46acc9-a3f7-46af-b98c-97f223d6ba39,43,27,2,ss
48,674d74c5-ded1-4468-b9a9-1e95ffc4e6bf,44,27,9,mw
49,0c460b42-cc7c-4258-96de-426a80c74069,45,27,29,ey
50,ac665366-2c03-4845-b2f5-e279ba04874c,46,27,16,cy
51,b7177b89-6380-4491-89aa-bb5253c8d248,47,32,3,kb
52,6f563c54-ab87-4ec6-a392-54dbb591c3ad,48,32,23,je
53,e9aad204-db35-49b2-8134-bd25d92f1fc8,49,32,4,af
54,00937328-754b-47fc-b2f9-fc5541f56bbe,50,32,8,tf
55,acb70f34-639b-4393-b304-5a37128cf328,51,32,13,lh
56,852095a7-625e-49f6-b58b-8cd0113d33a2,52,32,27,eh
57,d3b074f5-5b66-4ddf-9b00-01910cf081da,53,32,26,ek
58,3e42eb48-450b-4345-bb05-995550666f0b,54,32,19,kp
59,91aba90e-8883-41b1-9bc3-cb920af984d0,55,32,25,mr
60,ac52df35-4f5c-4bb3-8af7-3b5d559720e2,56,32,12,bw
61,87356671-6152-4cc6-b3cc-cfcf2bbb03de,30,32,18,kc
62,931aa4c8-d6e9-4514-9ebe-526736c22058,33,32,28,mf
63,c835d182-3796-453a-886a-9c92647a44f7,36,32,24,mk
64,2ef1a5f0-8626-4f5c-8ae0-83d807a639da,37,32,17,jm
65,970d5027-7d85-42fb-8a9f-7cf029fbf92f,45,32,29,ey
66,d1c01f77-283d-4809-bf1c-28edb3672abe,46,32,16,cy
67,d3bcf21d-c412-4e06-a1c3-561ac287755a,10,49,12,cc
68,bce80711-1e9f-4099-9e4b-32d654f850be,15,49,4,jd
69,0125a155-f1ae-44e4-acf1-2278eb5a6982,8,49,14,mf
70,efbe35ea-6cd7-4eff-a298-048078a423cc,9,49,27,cg
71,cbd6b555-12fe-45f0-b110-1a1fd517c099,27,49,1,mh
72,9c11e5d7-9dba-4603-a743-91856ddc3d05,12,49,20,al
73,6671b9e5-1bc9-4561-9538-12921970762c,11,49,11,jr
74,23d14548-6e5d-4108-9953-25589ecada82,13,49,26,ds
75,dd949cef-d9d6-45a3-b019-79b7c78ac068,22,49,19,wt
76,801f9b3f-028b-4403-9882-4b73293bfcea,5,49,3,jz
77,2295df50-62bd-4c35-ae14-85cf9ccb34c6,57,49,16,rk
78,be1225e2-5216-4296-b30c-f23f8386b940,58,71,4,jd
79,16d6d9cb-d796-42f2-a2f1-d3ca1c5ceb2d,59,71,5,rf
80,16b9dd9c-94b7-4bf0-a0f8-4517e9ce9709,60,71,6,mh
81,01aa3cc9-0c62-4617-ae59-7217d679f443,61,71,10,ak
82,5d062e32-2ccc-41b6-85b6-82f1b6e788eb,62,71,9,jk
83,22781f8a-b9e7-429d-b6b5-99a5e000d081,63,71,11,ma
84,2c5835fe-3610-40b9-916a-476727fe37ed,64,71,15,ki
85,83651c52-03c6-4b88-ac80-a38b8f3de3e7,30,71,18,kc
86,0a284ea6-ba7b-43b2-bc2b-e5072dde5a64,48,71,22,je
87,77e5efcc-21bd-4a09-8791-f7ab73d1bb7f,50,71,8,tf
88,e3deb409-eb19-4e08-afa4-d7f585da4564,51,71,17,lh
89,4b95a7d8-96b0-496d-8bce-b7dea0505da6,33,71,23,mf
90,16448a47-5e6b-4945-a9c4-27c20aad85cc,36,71,12,mk
91,a1fae10e-a99b-4fa9-bb0d-d9bc16dc1632,37,71,13,jm
92,f1b322dc-adb3-44d6-b2bd-e30444e9a095,45,71,29,ey
93,59167bf3-9af3-4f31-b87b-fb7b96e0805a,46,71,16,cy
94,b3a8106e-d796-4c7f-9748-add4b2a0a33d,65,71,25,hi
95,d86d9495-5d19-4b91-bcef-0993a176457f,66,80,1,ad
96,07603113-a1a6-4329-a4db-1d2f4eff8171,67,80,3,eb
97,905f9f60-492b-43c5-b764-20a72bd83284,68,80,7,lq
98,c227d57e-1975-4580-81da-6a4ffc10ee66,69,80,14,dd
99,d67eaf49-eb60-4567-ab42-91562d7ac0f7,70,80,19,ah
100,adf1a5a7-56dc-4b76-b3fd-e56786b63acb,71,80,21,ea
101,d766c84b-3a11-4a18-9dcf-ad0aad6f1a77,72,80,24,kh
102,77d13190-07ea-4327-9ee9-8fa4663f58e5,73,80,28,aw
103,996b6f98-5561-49e6-8f5b-2aeacd1e2d15,74,80,30,es
104,cf5c27e1-33d6-4171-8656-5a525188520e,58,80,4,jd
105,731403e5-d150-45ff-a08c-7eebb2fb42cb,59,80,5,rf
106,7af85e30-4314-4ea1-bfe2-2472eb7f29d6,60,80,6,mh
107,7556ac64-0645-46f2-8413-adf6aaa06867,62,80,9,jk
108,3c2acb12-94a1-4a64-a162-1f3c2a33389b,61,80,10,ak
109,1148c7de-bd38-453b-997d-804c49c51d30,63,80,11,jm
110,6b0ea465-3841-4cfb-a1fa-55b8fb0b4092,64,80,15,mk
111,45abf1c8-5cc7-493c-8dd7-c13d09e25467,65,80,25,lh
112,7bf55670-09e7-4db1-910a-e97f27f0eb50,75,71,44,de
